500, 500
x軸, y軸（補正なし）, ypos（補正あり）
392, 140, 122
306, 184, 160
305, 186, 162
307, 186, 162
309, 186, 162
308, 186, 162
315, 187, 163
315, 186, 162
308, 186, 162
294, 186, 162
311, 186, 162
298, 186, 162
307, 187, 163
310, 187, 163
309, 187, 163
299, 186, 162
320, 187, 163
298, 186, 162
322, 187, 163
306, 187, 163
317, 187, 163
302, 186, 162
310, 187, 163
319, 187, 163
308, 187, 163
297, 186, 162
324, 187, 163
332, 187, 163
314, 187, 163
307, 186, 162
319, 187, 163
327, 187, 163
313, 187, 163
297, 186, 162
334, 185, 161
310, 187, 163
